id,year,speechContent,evidence_minus_intuition_score,text_en
209,1949,jeweiligen Erfordernissen des praktischen Lebens von Fall zu Fall Für uns hängt die Seligkeit davon nicht ab Im Rahmen der uns auferlegten sozialen Verpflichtungen haben wir gerade auch hier eine soziale Marktordnung Wirklichkeit werden zu lassen Im Rahmen der zu ergreifenden marktorganisatorischen Manahmen wird die Errichtung von Marktverbänden ich denke hier vor allen Dingen an die Zucker und Milchwirtschaft ein dringendes Anliegen der Verbraucher der Erzeuger und Verarbeiter sein Ich darf mir auch erlauben die Regierung um beschleunigte Vorlage eines Gesetzes über die Importausgleichsstelle zu bitten Das Gesetz ist bereits vom Wirtschaftsrat beschlossen worden hat aber nicht die Genehmigung der Militärregierung gefunden Durch die Verzögerung wird die Erzeugung in Mitleidenschaft gezogen Ich hoffe da auch in diesem Gesetz eine angemessene Heranziehung der berufenen Vertretung der Landwirtschaft vorgesehen werden wird In diesen Zusammenhang gehört noch die baldige gesetzliche Regelung von Vorratsstellen für landwirtschaftliche Erzeugnisse aus eigener Produktion und aus Importen damit,0.020760149,Quota Exceeded
201,1949,den Staat und damit gegen das richten was allen guten Demokraten ein gemeinsames Anliegen sein soll Ich wehre mich aus solcher Überlegung sehr energisch gegen die Ausführungen des Herrn Abgeordneten Dr Schumacher in denen er so tut als ob die Interessen der arbeitenden Bevölkerung nur bei der Opposition gewahrt würden 1 und wenn er behauptet die Zusammensetzung der Regierung berge die Gefahr in sich da der neue Staat ein autoritärer Besitzverteidigungsstaat werde Mit solchen Ausführungen tut man diesem neuen Staat keinen guten Dienst 2 Ich darf aber in aller Bescheidenheit darauf hinweisen da auch die Wähler der Abgeordneten der Regierungsparteien zur arbeitenden Bevölkerung gehören Selbst wenn der Herr Abgeordnete Dr Schumacher unter arbeitender Bevölkerung hier die handarbeitende Bevölkerung gemeint haben sollte so mu ich mit aller Festigkeit aussprechen da auch wir groe Schichten dieser Bevölkerung vertreten und da die Opposition kein Monopol auf soziale Gesinnung und auf alleinige Wahrung sozialer,0.42028627,Quota Exceeded
123,1949,43 der Haager Landkriegsordnung gibt dem Okkupanten das Recht nachdem tatsächlich die Macht in seine Hände übergegangen ist für die Wiederherstellung der öffentlichen Ordnung und des öffentlichen Lebens zu sorgen wobei die Landesgesetze zu beachten sind Die besetzende Macht hat nach der Haager Landkriegsordnung kein Recht zu Handlungen die nur dem Souverän zustehen und in unserem Fall wäre Souverän das deutsche Volk Jede Abtrennung deutschen Gebietes steht also auerhalb aller völkerrechtlichen Grundlagen und widerspricht nicht nur dem Artikel 43 der Haager Landkriegsordnung sondern darüber hinaus auch noch der AtlantikCharta Das gilt beispielsweise für das Saargebiet und andere Teile des Westens wie für alle Ostgebiete Wenn in der Regierungserklärung davon die Rede war da man eventuell bereit sein würde auf gewisse Souveränitätsrechte zu verzichten dann möchten wir den Herrn Bundeskanzler doch bitten nicht einen einseitigen Verzicht auszusprechen sondern auf jeden Fall auch einen solchen Verzicht von der in diesem Augenblick entgegenstehenden,-0.7275952,Quota Exceeded
1241,1949,der ganze leidige Hauptstadtstreit aus Anla dieser Geschäftsordnungsdebatte zur Erörterung käme Wir sind da also bis zum Äuersten gegangen um uns zurückzuhalten und das zu vermeiden Um so mehr bedauere ich da hinterher wieder einmal nicht von allen Beteiligten geschwiegen worden ist sondern da sich der Herr Abgeordnete Dr von Brentano zu dieser Frage mehrfach in der Öffentlichkeit hat vernehmen lassen Ich bitte den Herrn Präsidenten um die Erlaubnis aus zwei Zeitungen der Frankfurter Rundschau vom 18 November und dem Darmstädter Echo ebenfalls vorn 18 November aus einem offenen Brief den Herr von Brentano diesen beiden Zeitungen zur Verfügung gestellt hat lediglich zwei Sätze verlesen zu dürfen Der Antrag auf Abänderung der Geschäftsordnung so schreibt Herr Dr von Brentano war ein Antrag der Fraktion der CDUCSU der von mir als dem Vorsitzenden unterzeichnet war Er wurde vom Bundestag einstimmig angenommen 6 Dies scheint mir zu beweisen da kein Abgeordneter des,-0.35100093,Quota Exceeded
183,1949,der andern Richtung zur Geltung So ist auch die Regierungserklärung unter diesem Gesichtspunkt zu sehen Wir stehen natürlich auf dem Standpunkt da wir die Staatsaufgaben vermindern müssen soweit es geht damit dieser Allgewaltstaat uns nicht mit der Vernichtung der persönlichen sittlichen und selbstverantwortlichen Freiheit bedroht Die Staatsaufgaben zu vermindern das ist das groe Problem Deshalb stimme ich denen nicht zu die von der Regierung immer wieder neue Gesetze verlangen langen Je mehr Gesetze die Regierung gibt um so mehr gerät sie in Versuchung die persönliche und sittliche Freiheit zu gefährden Sie soll wenige Gesetze geben aber diese wenigen Gesetze auch mit allem Nachdruck durchführen Nur so kommen wir dazu die Staatsaufgaben in der Praxis des Lebens zu vermindern Wenn wir nun etwas näher zusehen so müssen wir vor allem immer hervorheben da der Staat von allen Aufgaben die nicht unbedingt zum Wesen des Staates gehören eben zu jener Objektivation der,-0.51953495,Quota Exceeded
1104,1949,Die letzte Äuerung des Herrn Abgeordneten Dr Reismann war ganz und gar geschäftsordnungswidrig 0 Meine Damen und Herren es ist doch so wenn sich bei einer Abstimmung die Beschluunfähigkeit des Hauses herausstellt so ist damit automatisch die Sitzung zunächst geschlossen 1 nicht unterbrochen sondern geschlossen und es mu vom Präsidenten eine neue Sitzung angesetzt werden Diese neue Sitzung kann morgen oder übermorgen stattfinden sie kann aber auch von dem Präsidenten sofort nach einer Vierteloder halben Stunde einberufen werden wenn er der Meinung ist da diese Beschluunfähigkeit vorübergehend war da sich im Parlamentsgebäude auerhalb des Saales noch so viele Abgeordnete aufhalten da sich bei einer späteren Sitzung wieder eine Beschlufähigkeit ergeben könnte 2 Deshalb ist es üblich und war es im Reichstag verzeihen Sie wenn ich mich immer wieder darauf berufe aber ich habe dort zwölf Jahre die Geschäfte geleitet die Regel da in einem solchen Augenblick der Präsident je nach,-0.23152131,Quota Exceeded
205,1949,bewahren und mehr Wert darauf gelegt hätte das gute Herz zu zeigen 3 dann hätten wir das wahrscheinlich schon überwunden Die Ostvertriebenen sind die einzige Volksgruppe deren Angehörige bei der Währungsreform vollkommen leer ausgegangen sind Vor einigen Tagen hat hier ein Abgeordneter darüber geklagt da die Sparguthaben nur mit 65 Prozent aufgewertet worden sind Ich mu ihm entgegenhalten da unseren Schicksalsgenossen auch diese 65 Prozent vorenthalten worden sind 4 da sie bis heute noch nicht die geringste Aufwertung für ihre Sparguthaben bekommen haben Das mutet besonders merkwürdig an wenn man sich vergegenwärtigt da sich auch hier wieder ein Unrecht gegen die richtet die ohnehin schon alles verloren haben Wir erwarten von der Regierung da eine ihrer ersten Manahmen sein wird diesem Unrecht ein Ende zu setzen Wir haben mit Genugtuung aus der Erklärung des Kanzlers gehört da ein weiteres Unrecht nämlich in der Behandlung der Ansprüche unserer Pensionäre und Hinterbliebenen,1.1191702,Quota Exceeded
721,1949,nachzureichen und so sollte es auch hier nicht angängig sein da der Bundesrat seine Auffassung dem Ausschu nachreicht Wenn er sie nicht bis zur ersten Lesung hier erklärt hat so werden wir sie auch künftig nicht berücksichtigen können jedenfalls nicht in der Form da wir die Ausschüsse an die Stelle des Plenums setzen Meine Damen und Herren Ich erinnere Sie an die Ausführungen die der sogenannte Staatsrechtler SchmidtDorotic gemacht hat der Theoretiker des Nationalsozialismus der erklärt hat Der entartende Parlamentarismus zeichnet sich dadurch aus da aus dem eigentlichen Parlament die Diskussion und die Verantwortung auf immer kleinere Ausschüsse verlagert wird bis man schlielich beim Führer endet 12 Wenn Sie diesen schiefen Weg nicht gehen wollen so werden Sie mir zugeben müssen da die erste Lesung einer ersten Regierungsvorlage ein politisch auerordentlich bedeutsames Ereignis ist 13 und ich begrüe es da der Herr Bundeskanzler jetzt anwesend ist auch ohne da Sie,0.058945596,Quota Exceeded
252,1949,Rechten für die die noch nicht genug davon haben ein Ding das ihnen Tore in Bereiche öffnen kann die ihnen bisher verschlossen waren Wie seltsam man vom Recht denken kann dafür gibt es kaum ein einleuchtenderes Beispiel als die bekannte Rede eines gewissen Junkers Otto von Bismarck aus dem Jahre 1847 wo er als göttlichem und menschlichem Recht widerstreitend darstellte da die adligen Grundbesitzer zur gleichen Grundsteuer herangezogen werden sollen wie die bürgerlichen Das war durchaus sittlich gemeint und keine Tartufferie Meine Damen und Herren was hier in diesen Tagen im Namen der individuellen Freiheit vertreten worden ist das waren zum groen Teil Relikte des Nationalliberalismus der Wilhelminischen Zeit 2 Es war weitgehend der sehr respektable HonoratiorenLiberalismus von Besitz und Bildung der zu seiner Zeit wohl eine höchst moderne und die Welt reich befruchtende Sache gewesen ist Aber leider haben heute in unserem Volk nur wenige den dafür erforderlichen Besitz,0.90328896,Quota Exceeded
1385,1949,Meine sehr verehrten Damen und Herren Namens der Fraktion der WAV habe ich folgende Erklärung abzugeben Die Fraktion der WAV bedauert auerordentlich da durch das Interview des Herrn Bundeskanzlers ausgerechnet im jetzigen so ungeeigneten Augenblick eine Diskussion im Inland und insbesondere auch im Ausland entstanden ist die gewissen Leuten im Ausland die Möglichkeit gegeben hat die Friedensliebe des deutschen Volkes irgendwie in Zweifel zu ziehen Wir bedauern auerordentlich da der Herr Bundeskanzler sich wiederum hat dazu verleiten lassen ohne Anhörung des Parlaments ohne Anhörung des auenpolitischen Ausschusses oder irgendwelcher sonstiger Gremien dieses Hohen Hauses an eine ziemlich unbekannte Zeitung des Auslands Interviews von so schwerwiegender Bedeutung abzugeben Wir fürchten da durch solche politische Methoden des Herrn Bundeskanzlers der Sache unseres ganzen deutschen Volkes die er wohl vertreten will der denkbar schlechteste Dienst erwiesen wird Deshalb verurteilt die Fraktion der WAV mit Entschiedenheit die Handlungsweise des Herrn Bundeskanzlers Dr Adenauer 0,-0.44733113,Quota Exceeded
